YYYY-MM,Rep. index (%),SLE (m a.s.l.),Err. index (%),Snow cover (%),Snow covered below - north (%),Snow covered below - south (%),Snow free above - north (%),Snow free above - south (%),Mean snow depth (cm),Mean SWE (mm)
2019-08,98.26826266920237,3037,0.5414812277038198,0.7410722054418217,,,,,,
2019-09,99.89310263390138,2978,0.5439143469316726,0.8484667685920622,,,,,,
2019-10,99.99825981031933,2480,2.442415025916396,3.3314688443897524,,,,,1.5962269306182861,3.2627780437469482
2019-11,98.9355011124784,1473,7.811488980870345,31.300791786304703,,,,,31.588703155517578,65.86117553710938
2019-12,99.93014381424719,1310,11.62895862077538,39.00834048054095,,,,,59.39284133911133,172.71978759765625
2020-01,100.0,1512,7.623488210214912,29.554387142484245,,,,,55.91202163696289,199.55673217773438
2020-02,100.0,1536,8.772100098196418,28.478701321301163,,,,,53.31524658203125,208.32704162597656
2020-03,100.0,1532,11.14026736771451,28.655952070204222,,,,,51.597259521484375,210.79034423828125
2020-04,99.90702415134677,1718,8.918417111036531,21.11943916172577,,,,,29.93467140197754,140.240966796875
2020-05,99.55525723732458,2042,7.438043653901133,11.384320890977117,,,,,11.004829406738281,51.744197845458984
2020-06,98.97055350461773,2225,5.748231842985171,7.417434214615107,,,,,4.489162445068359,21.268863677978516
2020-07,96.55019825732434,2776,1.0121623332836136,1.4336676983505487,,,,,,
2020-08,98.80399249232453,2966,0.5272223348684292,0.8745696138021902,,,,,,
2020-09,97.72756087556401,2964,0.5015154216541746,0.8780499931635405,,,,,,
2020-10,100.0,2292,3.7800039775764134,6.10160221749885,,,,,4.662852764129639,10.803462982177734
2020-11,100.0,2298,5.9280857292016265,5.999676821916446,,,,,4.2608771324157715,13.631875038146973
2020-12,67.97752669326671,1790,11.882874047556898,18.594175336540257,,,,,30.646711349487305,66.85491180419922
2021-01,99.99204484717406,1092,20.097816061950752,49.6319498825372,,,,,46.21805191040039,116.28816223144531
2021-02,100.0,1281,10.894811127270016,40.376378168077466,,,,,44.99705505371094,140.72154235839844
2021-03,100.0,1535,10.864611999850842,28.521211669214804,,,,,24.433420181274414,99.63688659667969
2021-04,100.0,1714,10.167516562876783,21.265863693428297,,,,,13.404820442199707,59.604759216308594
2021-05,80.73436004524494,1607,8.577013958807225,25.47339374277511,,,,,11.31851577758789,48.96529006958008
2021-06,99.9676821916446,2229,4.998339983343899,7.33813128488148,,,,,3.8894426822662354,18.556133270263672
2021-07,100.0,2853,0.6517034825545984,1.1736336403525127,,,,,,
2021-08,99.68477706927197,3038,0.38426594681856036,0.7385862201837143,,,,,,
2021-09,98.39355632621098,2714,1.0041039343824192,1.6725708816546718,,,,,,
2021-10,100.0,2430,4.189914979304174,3.9129407962610783,,,,,0.5477728843688965,1.151334285736084
2021-11,100.0,1777,8.546626828752906,19.031957340492973,,,,,7.797206878662109,15.07395076751709
2021-12,100.0,1747,9.102041615393219,20.058172055039712,,,,,14.336913108825684,31.691329956054688
2022-01,100.0,1977,7.2960948279076705,12.99076456476613,,,,,11.64841365814209,32.9224739074707
2022-02,100.0,2043,8.074974207902946,11.365676001541312,,,,,9.81092643737793,31.428714752197266
2022-03,100.0,1979,9.027412959441152,12.934581297932905,,,,,6.200327396392822,25.201871871948242
2022-04,99.99502802948379,1982,8.980373146387242,12.858012951983195,,,,,4.660143852233887,15.492676734924316
